objectid,title,creator,date,collection,description,subject,location,latitude,longitude,source,internet_archive_link,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
ac-10-01-1923,"Acción Consciente, 10 de enero de 1923",,01-10-1923,accion-consciente,Periódico,newspaper,"Habana, Cuba",23.13302,-82.38304,,,,Text;Newspaper,,es,,,pdf,"objects/newspapers/Accion_Consciente/10-01-1923/Accion_Consciente_10-01-1923.json","objects/newspapers/Accion_Consciente/images/Accion_Consciente_10-01-1923_page-1.jpg","objects/newspapers/Accion_Consciente/images/Accion_Consciente_10-01-1923_page-1.jpg",,
al-05-02-1924,"Acción Libertaria, 5 de febrero de 1924",,05-02-1924,accion-libertaria,Periódico,newspaper,"Habana, Cuba",23.13302,-82.38304,,,,Text;Newspaper,,es,,,pdf,"objects/newspapers/Accion_Libertaria/05-02-1924/Accion_Libertaria_05-02-1924.json","objects/newspapers/Accion_Libertaria/images/Accion_Libertaria_05-02-1924_page-1.jpg","objects/newspapers/Accion_Libertaria/images/Accion_Libertaria_05-02-1924_page-1.jpg",,
lv-13-04-1944,"La Vanguardia, 13 de abril de 1944",,13-04-1944,la-vanguardia,Periódico,newspaper,"Manila, Filipinas",14.599512,120.984222,,,,Text;Newspaper,,es,,,pdf,"objects/newspapers/La_Vanguardia/13-04-1944/La_Vanguardia_13-04-1944.json","objects/newspapers/La_Vanguardia/images/La_Vanguardia_13-04-1944_page-1.jpg","objects/newspapers/La_Vanguardia/images/La_Vanguardia_13-04-1944_page-1.jpg",,"objects/newspapers/La_Vanguardia/13-04-1944/La_Vanguardia_13-04-1944_restored.txt"
fem-04-07-1922, "Fémina, 4 de julio de 1922",,04-07-1922,prensa-femenina,Periódico,newspaper,"San Pedro de Macorís, República Dominicana",18.457222,-69.306111,,,,Text;Newspaper,,es,,,pdf,"objects/newspapers/Fémina/04-07-1922/Fémina-04-07-1922.json","objects/newspapers/Fémina/images/Fémina-04-07-1922_page-1.jpg","objects/newspapers/Fémina/images/Fémina-04-07-1922_page-1.jpg",,
